element	sp_num	obs_wl_air(nm)	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	g_i	g_k	Type	
Cu	2	491.58321	2.5e+07	D+	117883.0985	138219.8605	9	9		
Cu	2	491.83779	2.9e+08	C	117747.3504	138073.5826	7	9		
Cu	2	492.64228	9.e+07	D+	115665.1539	135958.1919	3	3		
Cu	2	493.155496	7.1e+07	D+	115638.8036	135910.7245	5	5		
Cu	2	493.16982	1.9e+08	C	115662.5622	135933.89499	9	11		
Cu	2	493.722029	1.1e+08	D+	117928.2197	138176.8797	3	5		
Cu	2	493.79740	2.8e+07	D+	115665.1539	135910.7245	3	5		
Cu	2	494.30240	4.0e+07	D+	115638.8036	135863.6857	5	3		
Cu	2	495.37244	3.1e+08	C	117883.0985	138064.2971	9	11		
Cu	2	496.98062	1.1e+07	D+	116325.9148	136441.817	7	7		
Cu	2	497.36975	3.6e+07	D+	117928.2197	138028.384	3	3		
Cu	2	497.41542	3.0e+07	D+	118163.2663	138261.5822	5	7		
Cu	2	498.51421	2.1e+07	D+	116387.7873	136441.817	5	7		
Cu	2	498.550499	9.7e+07	C+	116080.2237	136132.77781	7	9		
Cu	2	498.8327	5.7e+06	D+	136725.85349	156767.066	11	13		
Cu	2	500.679983	1.20e+08	C+	118163.2663	138130.5345	5	7		
Cu	2	500.98505	5.4e+07	D+	116080.2237	136035.3328	7	7		
Cu	2	501.26197	9.6e+07	C+	116325.9148	136269.9996	7	9		
Cu	2	502.12785	3.2e+07	E	116080.2237	135989.9176	7	7		
Ag	2	502.73430	3.4e+05	C+	90887.8423	110773.5186	5	5		
Cu	2	503.90109	3.9e+07	D+	118163.2663	138002.8856	5	5		
Cu	2	504.13310	1.6e+07	D+	116080.2237	135910.7245	7	5		
Cu	2	505.179210	1.55e+08	C+	116371.18040	136160.61825	9	11		
Cu	2	505.890906	4.8e+07	D+	116371.18040	136132.77781	9	9		
Cu	2	506.06437	4.1e+05	C	68850.2628	88605.096	1	3		
Au	1	506.459	5.2e+05	D	21435.191	41174.613	4	4		
Cu	2	506.545858	1.61e+08	C+	118483.8135	138219.8605	7	9		
Cu	2	506.709416	1.23e+08	C+	118531.9058	138261.5822	5	7		
Cu	2	508.84882	4.8e+07	D+	118483.8135	138130.5345	7	7		
Cu	2	508.89426	5.2e+07	D+	118531.9058	138176.8797	5	5		
Cu	2	509.381535	4.9e+07	D+	116387.7873	136013.9671	5	5		
Cu	2	510.09790	1.6e+07	D+	118531.9058	138130.5345	5	7		
Cu	1	510.5541	2.0e+06	C+	11202.618	30783.697	6	4		
Cu	2	512.07535	2.0e+07	D+	116387.7873	135910.7245	5	5		
Ag	2	513.72470	1.8e+07	C	125574.8546	145035.112	3	5		
Ag	2	514.28156	1.3e+08	C	125574.8546	145014.040	3	3		
Cu	1	515.3235	6.0e+07	C+	30535.324	49935.195	2	4		
Cu	2	515.80914	2.4e+07	D+	116576.5758	135958.1919	1	3		
Cu	2	518.33664	2.4e+07	D+	116576.5758	135863.6857	1	3		
Ag	1	520.9078	7.5e+07	D	29552.05741	48743.969	2	4		
Cu	1	521.8202	7.5e+07	C+	30783.697	49942.051	4	6		
Cu	1	522.0070	1.50e+07	C+	30783.697	49935.195	4	4		
Cu	1	529.2517	1.09e+07	C+	43514.01	62403.332	8	8		
Ag	2	531.24571	1.6e+07	C	126679.4151	145497.860	9	9		
Cu	2	532.79841	1.1e+07	D+	135931.01412	154694.619	13	15		
Cu	2	532.88109	1.1e+07	D+	135933.89499	154694.589	11	13		
Cu	2	532.8963	9.e+06	D+	138002.8856	156763.044	5	7		
Ag	2	533.25043	2.0e+07	C	126679.4151	145427.113	9	9		
Ag	2	534.00267	3.4e+07	C	126668.189	145389.480	11	11		
Cu	2	534.5160	1.1e+07	D+	138064.2971	156767.609	11	13		
Cu	2	534.7809	1.1e+07	D+	138073.5826	156767.630	9	11		
Cu	2	535.5186	7.4e+06	D+	136035.3328	154703.625	7	9		
Cu	2	536.1907	9.e+06	D+	138130.5345	156775.430	7	9		
Ag	2	536.27877	2.2e+07	C	126766.4681	145408.300	5	7		
Cu	2	537.5276	8.1e+06	D+	138176.8797	156775.405	5	7		
Cu	2	538.19479	8.2e+06	D+	136132.77781	154708.244	9	11		
Cu	2	538.6435	1.0e+07	D+	138219.8605	156779.855	9	11		
Ag	2	539.24686	7.9e+07	C	126770.2987	145309.528	3	5		
Cu	2	539.8573	9.e+06	D+	138261.5822	156779.847	7	9		
Ag	2	540.01037	1.8e+08	C	126668.189	145181.205	11	13		
Ag	2	540.31323	1.8e+08	C	126679.4151	145182.054	9	11		
Ag	2	541.08114	3.6e+06	D+	126766.4681	145242.847	5	3		
Ag	2	541.1936	8.9e+07	C	126770.2987	145242.847	3	3		
